id,openness,conscientiousness,extraversion,agreeableness,neuroticism
1,4.25,3.59,2.96,4.09,3.8
2,2.38,4.0,2.58,2.77,3.35
3,3.45,3.98,3.09,5.0,2.58
4,3.54,4.17,2.28,3.49,2.56
5,4.16,3.11,3.37,3.54,2.46
6,3.85,4.45,2.7,3.63,1.93
7,3.54,3.1,3.27,4.98,2.78
8,4.76,3.26,2.69,3.51,2.92
9,3.54,3.98,3.38,3.75,4.37
10,2.58,2.98,1.99,3.74,3.01
11,3.22,2.8,2.48,2.46,3.74
12,3.57,3.76,3.41,3.1,3.3
13,3.1,2.91,1.98,5.0,3.07
14,4.6,3.74,1.65,3.91,3.25
15,2.79,4.19,3.42,3.7,2.43
16,3.56,2.51,3.43,2.92,3.12
17,2.51,4.4,3.55,3.22,3.73
18,3.37,3.58,3.37,2.43,2.0
19,3.34,3.5,2.7,3.8,1.69
20,3.44,4.43,3.78,4.53,2.91
21,3.76,3.6,3.39,4.68,3.87
22,3.84,2.62,3.41,3.65,2.51
23,3.44,3.39,1.75,4.29,4.21
24,4.22,3.08,4.07,3.81,2.38
25,2.8,4.13,2.94,2.86,2.71
26,3.61,1.85,3.24,4.17,3.94
27,3.86,3.94,3.08,4.49,3.54
28,3.46,3.99,4.25,2.4,2.01
29,3.76,3.34,3.89,4.14,2.75
30,3.91,3.35,2.69,4.71,4.08
31,3.3,3.03,4.15,4.66,3.2
32,3.68,4.33,3.57,3.12,4.12
33,3.97,3.73,3.04,4.74,3.21
34,3.55,3.78,3.43,4.29,2.6
35,3.67,4.07,3.89,3.77,2.37
36,3.47,3.59,3.27,3.78,1.55
37,3.38,2.7,2.34,3.5,5.0
38,3.45,3.14,4.1,3.49,3.52
39,3.42,2.5,2.93,2.55,2.79
40,3.36,2.36,2.56,3.0,2.27
41,3.8,4.1,3.43,2.25,2.56
42,3.6,3.5,4.44,2.64,3.26
43,2.96,2.98,3.23,4.44,2.97
44,2.28,4.66,3.96,4.48,3.18
45,4.23,4.08,2.95,3.23,2.49
46,3.59,3.35,2.44,3.29,2.8
47,3.25,2.92,3.7,3.39,3.44
48,2.7,3.65,3.96,3.56,2.94
49,4.57,3.42,3.58,3.79,2.29
50,3.83,4.29,2.75,4.28,3.5
51,4.27,2.52,2.03,2.44,1.66
52,3.03,3.03,3.46,4.81,1.0
53,3.59,3.53,3.22,3.87,4.02
54,2.91,3.55,3.26,2.77,3.3
55,4.03,4.86,2.73,3.64,3.41
56,3.18,3.61,2.88,5.0,2.62
57,2.97,2.96,3.38,5.0,3.22
58,3.06,3.94,3.61,3.02,2.79
59,4.28,3.76,3.21,3.13,3.86
60,3.77,3.76,3.95,3.7,4.91
